Id;gaming_interest_score;insta_design_interest_score;football_interest_score;recommended_product;campaign_success;age;canal_recommande;tranche_age;segment_principal;campaign_success_num
418;99.0;67.0;90.0;fortnite;True;20;facebook;19-25;gaming;1
419;11.0;21.0;16.0;instagram pack;False;21;insta;19-25;design;0
420;64.0;21.0;89.0;fifa;True;22;mail;19-25;football;1
421;81.0;49.0;13.0;fortnite;False;28;mail;26-35;gaming;0
422;28.0;75.0;35.0;instagram pack;True;20;insta;19-25;design;1
424;51.0;75.0;6.0;instagram pack;True;20;insta;19-25;design;1
425;32.0;5.0;78.0;fifa;False;50;mail;36-50;football;0
426;74.0;57.0;86.0;fifa;True;20;mail;19-25;football;1
427;45.0;97.0;28.0;instagram pack;False;23;mail;19-25;design;0
428;98.0;12.0;38.0;fortnite;True;24;facebook;19-25;gaming;1
429;28.0;28.0;74.0;fifa;True;57;mail;51+;football;1
430;1.0;46.0;77.0;fifa;True;47;mail;36-50;football;1
431;74.0;26.0;66.0;fortnite;False;23;facebook;19-25;gaming;0
432;55.0;91.0;92.0;fifa;False;53;mail;51+;football;0
433;79.0;100.0;58.0;instagram pack;False;25;insta;19-25;design;0
434;18.0;56.0;68.0;fifa;False;41;mail;36-50;football;0
435;0.0;57.0;37.0;instagram pack;True;27;insta;26-35;design;1
436;60.0;34.0;63.0;fifa;False;23;mail;19-25;football;0
437;23.0;11.0;17.0;fortnite;False;27;mail;26-35;gaming;0
438;79.0;26.0;71.0;fortnite;True;21;mail;19-25;gaming;1
439;88.0;16.0;92.0;fifa;False;23;mail;19-25;football;0
440;78.0;26.0;45.0;fortnite;True;27;facebook;26-35;gaming;1
441;70.0;2.0;92.0;fifa;True;29;mail;26-35;football;1
442;52.0;23.0;59.0;fifa;False;20;mail;19-25;football;0
443;19.0;45.0;14.0;instagram pack;True;26;insta;26-35;design;1
444;77.0;70.0;16.0;fortnite;True;22;facebook;19-25;gaming;1
445;83.0;99.0;8.0;instagram pack;True;25;insta;19-25;design;1
446;59.0;62.0;85.0;fifa;True;46;mail;36-50;football;1
447;1.0;87.0;71.0;instagram pack;True;57;insta;51+;design;1
448;76.0;80.0;71.0;instagram pack;True;26;insta;26-35;design;1
449;93.0;63.0;81.0;fortnite;True;21;facebook;19-25;gaming;1
450;94.0;37.0;31.0;fortnite;True;20;facebook;19-25;gaming;1
451;88.0;32.0;40.0;fortnite;True;30;facebook;26-35;gaming;1
453;85.0;50.0;87.0;fifa;True;23;mail;19-25;football;1
454;75.0;45.0;31.0;fortnite;True;30;mail;26-35;gaming;1
455;53.0;85.0;91.0;fifa;True;55;mail;51+;football;1
456;73.0;39.0;31.0;fortnite;False;29;facebook;26-35;gaming;0
457;96.0;1.0;96.0;fortnite;True;30;facebook;26-35;gaming;1
458;76.0;29.0;32.0;fortnite;False;30;facebook;26-35;gaming;0
459;25.0;21.0;65.0;fifa;False;42;mail;36-50;football;0
460;89.0;45.0;14.0;fortnite;True;27;facebook;26-35;gaming;1
461;43.0;48.0;74.0;fifa;True;49;mail;36-50;football;1
462;5.0;8.0;5.0;instagram pack;False;27;insta;26-35;design;0
463;94.0;31.0;40.0;fortnite;True;20;facebook;19-25;gaming;1
464;7.0;71.0;49.0;instagram pack;True;28;insta;26-35;design;1
465;83.0;61.0;6.0;fortnite;True;22;facebook;19-25;gaming;1
466;79.0;3.0;5.0;fortnite;False;22;facebook;19-25;gaming;0
467;25.0;2.0;40.0;fifa;True;22;mail;19-25;football;1
468;13.0;74.0;81.0;fifa;True;49;mail;36-50;football;1
469;86.0;11.0;12.0;fortnite;True;25;facebook;19-25;gaming;1
470;18.0;54.0;99.0;fifa;True;43;mail;36-50;football;1
471;92.0;52.0;54.0;fortnite;True;26;facebook;26-35;gaming;1
472;43.0;81.0;69.0;instagram pack;False;59;insta;51+;design;0
473;21.0;36.0;95.0;fifa;True;60;mail;51+;football;1
474;58.0;2.0;27.0;fortnite;True;27;facebook;26-35;gaming;1
475;34.0;60.0;92.0;fifa;True;57;mail;51+;football;1
476;78.0;96.0;6.0;instagram pack;True;22;insta;19-25;design;1
477;93.0;84.0;30.0;fortnite;True;23;facebook;19-25;gaming;1
478;23.0;19.0;36.0;fifa;True;27;mail;26-35;football;1
479;19.0;59.0;23.0;instagram pack;True;25;insta;19-25;design;1
480;50.0;95.0;35.0;instagram pack;True;22;mail;19-25;design;1
481;97.0;99.0;65.0;instagram pack;True;20;insta;19-25;design;1
482;35.0;5.0;38.0;fifa;True;26;mail;26-35;football;1
483;57.0;11.0;2.0;fortnite;False;23;mail;19-25;gaming;0
484;39.0;20.0;14.0;fortnite;True;29;facebook;26-35;gaming;1
485;25.0;7.0;99.0;fifa;False;57;mail;51+;football;0
486;86.0;41.0;43.0;fortnite;True;28;facebook;26-35;gaming;1
487;1.0;36.0;68.0;fifa;True;44;mail;36-50;football;1
488;40.0;61.0;59.0;instagram pack;True;26;insta;26-35;design;1
489;13.0;88.0;83.0;instagram pack;True;50;insta;36-50;design;1
490;69.0;16.0;88.0;fifa;False;29;insta;26-35;football;0
491;65.0;34.0;100.0;fifa;True;23;mail;19-25;football;1
492;64.0;39.0;75.0;fifa;True;23;mail;19-25;football;1
493;44.0;22.0;46.0;fifa;True;29;mail;26-35;football;1
494;9.0;66.0;13.0;instagram pack;True;20;insta;19-25;design;1
495;92.0;9.0;75.0;fortnite;False;29;facebook;26-35;gaming;0
497;75.0;0.0;56.0;fortnite;True;26;facebook;26-35;gaming;1
498;83.0;27.0;36.0;fortnite;True;30;facebook;26-35;gaming;1
499;75.0;36.0;48.0;fortnite;False;29;mail;26-35;gaming;0
501;43.0;55.0;27.0;instagram pack;False;29;insta;26-35;design;0
502;5.0;60.0;19.0;instagram pack;True;22;insta;19-25;design;1
503;1.0;72.0;36.0;instagram pack;False;28;insta;26-35;design;0
504;28.0;0.0;34.0;fifa;True;25;mail;19-25;football;1
505;58.0;68.0;32.0;instagram pack;True;23;insta;19-25;design;1
507;77.0;11.0;19.0;fortnite;False;27;insta;26-35;gaming;0
508;87.0;42.0;97.0;fifa;True;20;mail;19-25;football;1
509;28.0;56.0;38.0;instagram pack;True;25;insta;19-25;design;1
510;42.0;49.0;22.0;instagram pack;False;21;insta;19-25;design;0
511;83.0;22.0;44.0;fortnite;True;27;facebook;26-35;gaming;1
513;49.0;7.0;84.0;fifa;True;49;mail;36-50;football;1
514;7.0;28.0;95.0;fifa;True;47;mail;36-50;football;1
515;85.0;46.0;33.0;fortnite;True;30;facebook;26-35;gaming;1
517;89.0;42.0;73.0;fortnite;True;24;mail;19-25;gaming;1
519;75.0;90.0;71.0;instagram pack;False;28;insta;26-35;design;0
